name,% cells,% stdev,,doi
mEGFP (L221K),98.8,1.2,,10.1038/nmeth.3891
mEGFP (A206K),98.1,1.6,,10.1038/nmeth.3891
mEmerald,96.6,1.1,,10.1038/nmeth.3891
mRFP1,95.8,1.1,,10.1038/nmeth.3891
mT-Sapphire,95.5,0.6,,10.1038/nmeth.3891
mApple,95.3,1.7,,10.1038/nmeth.3891
mPapaya,95.1,1.1,,10.1038/nmeth.3891
mCherry,95,0.8,,10.1038/nmeth.3891
CyPet,94,2.4,,10.1038/nmeth.3891
mKate2.5,93.9,1.7,,10.1038/nmeth.3891
mCitrine,93.8,2.6,,10.1038/nmeth.3891
mTurquoise2,93.8,1,,10.1038/nmeth.3891
mTurquoise,93.3,1.2,,10.1038/nmeth.3891
mRuby,93.1,2.1,,10.1038/nmeth.3891
mCerulean,92.6,2,,10.1038/nmeth.3891
mTFP1,92,1.5,,10.1038/nmeth.3891
mTopaz,91.9,2,,10.1038/nmeth.3891
mOrange2,91.8,1.4,,10.1038/nmeth.3891
FusionRed,91.5,3,,10.1038/nmeth.3891
mPlum,91.5,2.4,,10.1038/nmeth.3891
mOrange,91.4,1.7,,10.1038/nmeth.3891
mCerulean3,91,1.8,,10.1038/nmeth.3891
mStrawberry,90.6,2.5,,10.1038/nmeth.3891
mClover,90.5,4.5,,10.1038/nmeth.3891
mNeonGreen,90.4,2.1,,10.1038/nmeth.3891
mEos3d.2G16,90.4,2.4,,10.1038/nmeth.3891
mAzamiGreen,90.3,4.7,,10.1038/nmeth.3891
mAmetrine,90,4.5,,10.1038/nmeth.3891
mRaspberry,89.6,4,,10.1038/nmeth.3891
mPapaya2,87.6,3.2,,10.1038/nmeth.3891
mRuby2,87.4,5.8,,10.1038/nmeth.3891
mWasabi,86.4,2.5,,10.1038/nmeth.3891
mVenus,83.9,4.4,,10.1038/nmeth.3891
mKate2,81.1,6.1,,10.1038/nmeth.3891
Cerulean,78.3,4.8,,10.1038/nmeth.3891
EGFP,76.5,6.9,,10.1038/nmeth.3891
Clover,72.9,5.5,,10.1038/nmeth.3891
mKO2,68.4,4.2,,10.1038/nmeth.3891
Topaz,63.8,8,,10.1038/nmeth.3891
tdTurboRFP,62.5,9.4,,10.1038/nmeth.3891
Ypet,62.5,5.2,,10.1038/nmeth.3891
Superfolder GFP (A206V),62.4,6.3,,10.1038/nmeth.3891
Emerald,58.9,5.5,,10.1038/nmeth.3891
mTagRFP,57.7,7.5,,10.1038/nmeth.3891
tdTomato,57.6,4.9,,10.1038/nmeth.3891
EBFP2,57,2.7,,10.1038/nmeth.3891
mKate,54.5,4.8,,10.1038/nmeth.3891
mEos3dG16,53.3,7.8,,10.1038/nmeth.3891
mTagBFP2,49.8,1.9,,10.1038/nmeth.3891
mKO,46.9,6.1,,10.1038/nmeth.3891
MiCy,41.7,10.7,,10.1038/nmeth.3891
mCardinal,41.3,3.6,,10.1038/nmeth.3891
mTagRFP-T,41.2,4,,10.1038/nmeth.3891
mNeptune,40.5,3.8,,10.1038/nmeth.3891
Venus,36.5,3.5,,10.1038/nmeth.3891
Citrine,36.2,3.9,,10.1038/nmeth.3891
tdKatushka,30.6,5.9,,10.1038/nmeth.3891
acGFP,29.5,12.4,,10.1038/nmeth.3891
TurboRFP,0,0,,10.1038/nmeth.3891
dKatushka,0,0,,10.1038/nmeth.3891
DsRed2,0,0,,10.1038/nmeth.3891
zsYellow,0,0,,10.1038/nmeth.3891
AsRed,0,0,,10.1038/nmeth.3891
,,,,
,,,,
,,,,
EBFP2,36.3,,,10.1038/ncomms8670
moxBFP,99.1,,,10.1038/ncomms8670
mTagBFP,56.5,,,10.1038/ncomms8670
mRuby2,33.3,,,10.1038/ncomms8670
FusionRed,97.3,,,10.1038/ncomms8670
mCherry,91,,,10.1038/ncomms8670
